model,feature,exact_match_acc,hamming_acc,precision,recall,f1,auroc
RandomForest,MFCC,0.7843137254901961,0.9245482506728182,0.9000213154767746,0.9129517222395561,0.9043203098053791,0.9714147078510271
ExtraTrees,MFCC,0.7950788158400616,0.9278162245290273,0.9022185218878963,0.9219468949673006,0.9097380647055533,0.9766179319352192
XGBoost,MFCC,0.788158400615148,0.9261822376009228,0.904761516635823,0.9111337382354905,0.9074616859344176,0.9769373558327874
LightGBM,MFCC,0.7939254133025759,0.9286812764321415,0.9066519841018307,0.9141145213051706,0.9097778159214205,0.9780005397248064
CatBoost,MFCC,0.780084582852749,0.9272395232602845,0.9056697503293337,0.911662757938435,0.908169825956368,0.9759421849114146
GaussianNB,MFCC,0.34563629373317956,0.7950788158400615,0.6582358245099154,0.8840422340385213,0.7532095223117867,0.840950996349223
LSTM,MFCC,0.9054209919261822,0.9576124567474048,0.9507993707339333,0.937707995338382,0.9440684103921586,0.9908358928313177
BiLSTM,MFCC,0.9181084198385236,0.9607843137254902,0.9538321413826505,0.9447789623234085,0.9483616742310992,0.9922917921996774
Transformer,MFCC,0.8754325259515571,0.9422337562475971,0.9301199711413077,0.9266425921003841,0.9265674737342549,0.9854680531795286
MLP,MFCC,0.845444059976932,0.9330065359477124,0.919709940619067,0.9096331882230226,0.9145340589449414,0.9801507705139217
RandomForest,LogMel,0.8031526336024606,0.9286812764321415,0.90445029285985,0.9238538101899564,0.9111427735191434,0.9778760707130709
ExtraTrees,LogMel,0.7893118031526336,0.9264705882352942,0.8952647923124885,0.9310708358401509,0.9101547915399588,0.9779504346217234
XGBoost,LogMel,0.8104575163398693,0.9357939254133025,0.9156936768956703,0.9264128930721269,0.9209631455514025,0.9819893320764602
LightGBM,LogMel,0.8266051518646674,0.9394463667820069,0.9205758402028864,0.9302411372194443,0.9250217049742473,0.982374995182017
CatBoost,LogMel,0.8004613610149942,0.9344482891195693,0.9126551527526579,0.9266455119723302,0.9194873948207866,0.9798162155582484
GaussianNB,LogMel,0.15417147251057287,0.7431757016532103,0.6148339060710194,0.7394983833576089,0.6518910881557735,0.754969057162658
LSTM,LogMel,0.7620146097654749,0.8963860053825452,0.8484105264289274,0.8688477059081599,0.8411357933925696,0.9512613908770706
BiLSTM,LogMel,0.9038831218762015,0.9549211841599385,0.925038564508528,0.9360277053689926,0.930298695532253,0.9892199422497935
Transformer,LogMel,0.8819684736639753,0.9433871587850826,0.910270773865113,0.9209038100670288,0.9153325984925236,0.9841583288326796
MLP,LogMel,0.766243752402922,0.8995578623606305,0.8352467155930317,0.8873959630514402,0.8511705505744466,0.9539839561445573
RandomForest,LFSCC,0.8027681660899654,0.9220492118415994,0.8755413989188492,0.9032403949080442,0.8881691880707954,0.9732210594510001
ExtraTrees,LFSCC,0.7858515955401768,0.918396770472895,0.8723116674659962,0.8995556414854049,0.8846970748524261,0.9709329427065508
XGBoost,LFSCC,0.7850826605151865,0.9219530949634756,0.8808728260891596,0.8950057075820873,0.8876116756457495,0.9720054184689484
LightGBM,LFSCC,0.7766243752402922,0.9219530949634756,0.8841106953990061,0.8962129440089697,0.8898458619483121,0.9730261467228201
CatBoost,LFSCC,0.7566320645905421,0.9149365628604383,0.8676128014484067,0.8905160313963927,0.8781995960801252,0.9675376403326298
GaussianNB,LFSCC,0.15916955017301038,0.647443291041907,0.5545140056257759,0.5989614947867915,0.5108477623193293,0.7384559490842392
LSTM,LFSCC,0.33871587850826607,0.8178585159554017,0.6849932433667861,0.44917941312140186,0.5421053413098493,0.8348876073484448
BiLSTM,LFSCC,0.34256055363321797,0.8207420222991157,0.691473859489778,0.4511903975830349,0.5459255274783008,0.7807037402951943
Transformer,LFSCC,0.30603613994617457,0.8038254517493272,0.6561234369637902,0.43436292814468275,0.5226629617088606,0.7715939122797026
MLP,LFSCC,0.25336409073433297,0.7856593617839293,0.6237408982659686,0.41186602333947075,0.4957126037164308,0.7411501260428931
CNN-1D (Raw),Raw,0.8223760092272203,0.9361783929257977,0.9131090934267228,0.9360850093170371,0.9239044793231601,0.9829084990029876
